message,concepts
"(1, 1, 1, 0)","[('?', 2, 3), ('?', '?', 3), ('?', 1, 3), ('?', 2, 3), ('?', '?', 3), ('?', 2, 3), ('?', 3, 3), ('?', '?', 3), (0, 3, 3), ('?', '?', 3), ('?', 2, 3), (3, 2, 3), ('?', '?', 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', '?', 3), ('?', '?', 3), ('?', 2, 3), ('?', '?', 3), ('?', 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), ('?', 1, 3), ('?', 1, 3), (3, 2, 3)]"
"(1, 1, 4, 0)","[('?', 1, 3), ('?', '?', 3), ('?', '?', 3)]"
"(1, 1, 14, 0)","[(0, 3, 3)]"
"(1, 4, 1, 0)","[('?', 1, 3)]"
"(1, 9, 9, 0)","[(2, '?', 3)]"
"(1, 14, 1, 0)","[(0, 3, 3)]"
"(1, 15, 15, 0)","[('?', 3, 3)]"
"(3, 9, 9, 0)","[(2, 1, 3)]"
"(4, 1, 1, 0)","[('?', 2, 3)]"
"(4, 1, 15, 0)","[('?', 2, '?'), ('?', 2, 2), ('?', 2, '?'), ('?', 2, '?'), (1, 2, 1), (1, 2, 1), (1, 2, 1), (1, 2, 1), ('?', 2, 2), ('?', 2, '?'), ('?', 2, '?'), (1, 2, 1), ('?', 2, '?'), ('?', 2, '?'), (1, 2, 1), ('?', 2, 2), ('?', 2, 2), (1, 2, 1), ('?', 2, 1), ('?', 2, 2), (1, 2, 1), ('?', 2, 2)]"
"(4, 4, 1, 0)","[('?', 2, 2)]"
"(4, 4, 4, 0)","[(3, 0, 3), ('?', 0, '?'), (1, 0, 2), ('?', 0, 3), (3, 0, 2), ('?', '?', 2), (0, 0, '?'), (3, 0, 2), ('?', 0, '?'), ('?', 0, 3), ('?', 0, '?'), (3, 0, 3), (3, 0, 2), (0, 0, '?'), ('?', 0, 3), ('?', 0, '?'), (3, 0, 2), ('?', 0, 2), ('?', 0, '?'), (1, 0, 2), (3, 0, 3), (3, 0, 3), ('?', 0, 2), (3, 0, 2), (1, 0, 2), ('?', 0, '?'), ('?', 0, 2), (3, 0, 3), (3, 0, 3), (3, 0, 2), ('?', 0, 2), (3, 0, 2), ('?', 0, '?'), (3, 0, 3), ('?', 0, 2), (3, 0, '?'), (3, 0, 3), ('?', 0, 3), ('?', 0, 3), (3, 0, '?'), (3, 0, '?'), (3, 0, '?'), (3, 0, 2), (1, 0, '?'), (1, 0, 2), (3, 0, '?'), ('?', '?', 2), ('?', '?', 2), (1, 0, 2), (3, 0, '?'), (3, 0, 2), (3, 0, '?'), (3, 0, 2), ('?', 0, '?'), (3, 0, 3), ('?', '?', 2), ('?', 0, '?'), (3, 0, '?'), ('?', 0, 3)]"
"(4, 4, 8, 0)","[(1, 0, '?')]"
"(4, 4, 14, 0)","[(0, 0, '?'), (0, 0, '?')]"
"(4, 4, 15, 0)","[('?', 2, 1)]"
"(4, 5, 5, 0)","[(0, 2, 1)]"
"(4, 8, 8, 0)","[(1, 1, 0), (1, 0, '?'), (1, 0, '?'), (1, 0, '?'), (1, 1, 0), (1, '?', 2), (1, '?', 0), (1, '?', 0), (1, 0, '?')]"
"(4, 9, 9, 0)","[(2, 2, 0)]"
"(4, 10, 10, 0)","[(1, 1, 1)]"
"(4, 14, 14, 0)","[(0, 0, 3)]"
"(4, 14, 15, 0)","[(0, 2, 0), (0, 2, 0)]"
"(4, 15, 15, 0)","[(0, 0, 0), ('?', 0, 0), ('?', '?', 0), ('?', 2, 0), ('?', 2, 0), (3, '?', 0), ('?', '?', 0), (0, '?', 0), (0, 0, 0), ('?', '?', 0), ('?', 0, 0), ('?', 0, 0), (0, 0, 0), ('?', 2, 0), ('?', 0, 0), ('?', 0, 0), ('?', 2, 0), (0, 0, 0), ('?', 0, 0), ('?', '?', 0), (0, 2, 0), ('?', 0, 0), (3, '?', 0), ('?', '?', 0), ('?', '?', 0), ('?', '?', 0), (0, 0, 0), (0, 0, 0), ('?', 2, 0), ('?', 2, 0), (0, 0, 0), ('?', 3, 0), (3, '?', 0), ('?', 0, 0), ('?', '?', 0), ('?', 2, 0), (3, 3, 0), ('?', 2, 0), (0, 0, 0), ('?', '?', 0)]"
"(5, 5, 5, 0)","[('?', 3, 1), ('?', 2, 1), (0, 1, 1), (1, 1, 1), ('?', 3, 1), ('?', 0, 1), ('?', '?', 1), ('?', 3, 1), ('?', '?', 1), (3, '?', 1), ('?', 2, 1), ('?', 1, 1), (0, 2, 1), (3, '?', 1), ('?', '?', 1), (0, 1, 1), (0, 1, 1), ('?', 1, 1), (1, 1, 1), ('?', 2, 1), (3, '?', 1), (1, 3, 1), ('?', 1, 1), ('?', 0, 1), ('?', 0, 1), (1, 3, 1), (3, 0, 1), (0, '?', 1), (3, 0, 1), (1, 3, 1), ('?', 1, 1), (3, 3, 1), (0, 2, 1), (1, 1, 1), ('?', 0, 1), (1, '?', 1), ('?', 0, 1), (1, '?', 1), (3, 3, 1), (0, '?', 1), (0, '?', 1), (3, 0, 1), (0, '?', 1), (3, 3, 1), (1, '?', 1), (3, 3, 1), (3, 3, 1), ('?', 3, 1), ('?', 2, 1), ('?', 3, 1), (3, 3, 1), (3, 0, 1), (0, '?', 1), (3, 3, 1), ('?', 2, 1), (1, '?', 1), ('?', 1, 1), ('?', 2, 1), ('?', 3, 1), ('?', 0, 1), (1, 3, 1), (1, '?', 1), (0, '?', 1), ('?', 3, 1), (0, 1, 1), ('?', 1, 1), ('?', 1, 1), (3, 0, 1), (0, 2, 1), ('?', 0, 1), ('?', '?', 1), ('?', 3, 1), (1, 3, 1), (3, 0, 1), (3, 3, 1), ('?', '?', 1), (0, 2, 1), ('?', 0, 1), (3, '?', 1), ('?', '?', 1), (1, 3, 1), (3, 0, 1), ('?', 2, 1), (0, 2, 1), (1, 3, 1), (0, 2, 1), (0, 2, 1), (0, 1, 1), ('?', '?', 1), (0, '?', 1), ('?', '?', 1), (1, '?', 1), (0, '?', 1), (3, '?', 1), ('?', 0, 1), (3, 0, 1), (0, '?', 1), ('?', '?', 1), (0, 1, 1), ('?', 0, 1), (3, 0, 1), ('?', 2, 1)]"
"(5, 5, 9, 0)","[(2, 1, 1), (2, 1, 1), (2, 0, 1)]"
"(5, 5, 15, 0)","[(3, 3, 1)]"
"(5, 9, 9, 0)","[(2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 1, 1), (2, 1, 1), (2, 0, 1), (2, 0, 1), (2, 1, 1), (2, 1, 1), (2, 2, 1), (2, 0, 1), (2, 1, 1)]"
"(5, 10, 5, 0)","[(1, 1, 1)]"
"(8, 8, 8, 0)","[(1, 2, 0), (1, 2, 2), (1, '?', 0), (1, 3, 2), (1, '?', 3), (1, '?', 3), (1, 2, 2), (1, 2, 0), (1, 3, 2), (1, 2, 0), (1, 3, 2), (1, 3, 2), (1, '?', 2), (1, 2, 0), (1, 1, 0), (1, '?', 2), (1, 3, 2), (1, 2, '?'), (1, 0, 3), (1, 3, 2), (1, 2, 2), (1, 3, 3), (1, '?', 0), (1, '?', 0), (1, 1, '?'), (1, 1, 2), (1, 1, 2), (1, 0, 3), (1, '?', 2), (1, 2, 3), (1, 2, 0), (1, 1, 0), (1, '?', 2), (1, 2, '?'), (1, '?', 3), (1, 1, 2), (1, 0, 3), (1, 2, 0), (1, 2, 3), (1, '?', 2), (1, 0, 3), (1, 3, 2), (1, 1, '?'), (1, 1, '?'), (1, 3, 3), (1, 1, '?'), (1, '?', 3), (1, 2, 3), (1, '?', 0), (1, 0, 3), (1, 1, '?'), (1, 3, 3), (1, '?', 2), (1, 1, 2), (1, 2, '?'), (1, 3, 3), (1, 1, 2), (1, 2, 3), (1, '?', 3), (1, 2, 0), (1, 2, '?'), (1, 2, 3), (1, 2, 2), (1, 2, 2), (1, '?', 2), (1, 2, '?'), (1, 2, '?'), (1, 1, 0), (1, 2, 2), (1, 1, 0), (1, '?', 0), (1, 0, 3), (1, '?', 3), (1, '?', 0), (1, 3, 3), (1, 0, 3), (1, 1, 0), (1, 1, '?'), (1, 0, 3), (1, 2, 3), (1, 2, 0), (1, '?', 2), (1, 1, '?'), (1, '?', 3), (1, 3, 3)]"
"(8, 10, 8, 0)","[(1, 1, 2)]"
"(9, 9, 5, 0)","[(2, 1, 1)]"
"(9, 9, 9, 0)","[(2, 2, 0), (2, 3, 0), (2, 3, 3), (2, 3, 3), (2, 0, 0), (2, 2, 3), (2, 0, 0), (2, 1, 3), (2, '?', '?'), (2, 2, 2), (2, 2, 0), (2, 2, 0), (2, 3, '?'), (2, 3, '?'), (2, 2, 0), (2, 0, 2), (2, 2, '?'), (2, 2, '?'), (2, '?', '?'), (2, 1, 0), (2, 0, 2), (2, 3, 3), (2, '?', '?'), (2, 2, 3), (2, 1, 1), (2, 1, 0), (2, 3, '?'), (2, 3, '?'), (2, 3, 3), (2, 1, 3), (2, 1, 0), (2, '?', 2), (2, 3, '?'), (2, 0, 2), (2, '?', 3), (2, 1, 3), (2, 2, 0), (2, '?', 3), (2, 3, '?'), (2, 1, 3), (2, 2, 1), (2, '?', '?'), (2, 3, 3), (2, 0, 2), (2, 3, 0), (2, '?', 2), (2, 3, 3), (2, 2, 3), (2, 2, 0), (2, '?', '?'), (2, '?', '?'), (2, 2, 3), (2, 2, 3), (2, 2, 2), (2, 1, 0), (2, 2, 1), (2, '?', 3), (2, '?', 2), (2, 3, 0), (2, 0, 2), (2, 1, 0), (2, 3, 3), (2, '?', 2), (2, 1, 3), (2, 2, 2), (2, 2, '?'), (2, 3, 3), (2, '?', 3), (2, 1, 3), (2, 2, 3), (2, '?', 2), (2, 1, 2), (2, 0, 0), (2, 2, 2), (2, 2, 3), (2, 1, 1), (2, '?', '?'), (2, 0, 0), (2, 3, 0), (2, '?', '?'), (2, 2, 2), (2, 2, 0), (2, '?', 2), (2, '?', '?'), (2, 3, 0), (2, 2, 1), (2, 2, 2), (2, 2, '?'), (2, 2, 3), (2, 2, '?'), (2, 3, 0), (2, 1, 2), (2, 0, 0), (2, 2, '?'), (2, '?', 2), (2, 2, 0), (2, 0, 0), (2, 2, 2), (2, 1, 0), (2, 0, 2), (2, 3, '?'), (2, 0, 0), (2, 2, '?'), (2, 2, 1), (2, 2, 1), (2, '?', 3), (2, 0, 1), (2, 3, 3), (2, 1, 2), (2, 1, 2), (2, '?', 3), (2, 2, 1), (2, 1, 3), (2, 0, 0), (2, '?', 3), (2, 2, 1), (2, 2, 0), (2, 3, 0)]"
"(10, 1, 1, 0)","[(3, 2, 3)]"
"(10, 1, 15, 0)","[(3, 2, 2), (3, 2, 2), (3, 2, '?'), (3, 2, '?')]"
"(10, 4, 4, 0)","[('?', '?', 2), (0, 1, 2), (0, 1, 2)]"
"(10, 5, 5, 0)","[(3, 1, 1), (3, 1, 1), (3, '?', 1), (3, '?', 1)]"
"(10, 5, 15, 0)","[(3, 2, 1)]"
"(10, 8, 8, 0)","[(1, 1, 2), (1, 1, 2), (1, 1, 2)]"
"(10, 10, 4, 0)","[('?', '?', 2)]"
"(10, 10, 5, 0)","[(1, 1, 1)]"
"(10, 10, 10, 0)","[('?', 1, '?'), ('?', 1, 2), ('?', 1, '?'), ('?', 1, '?'), ('?', 1, '?'), (1, 1, 1), ('?', 1, '?'), (1, 1, 1), ('?', 1, 3), ('?', 1, 2), ('?', 1, 2), (1, 1, 1), ('?', 1, '?'), ('?', 1, '?'), ('?', 1, '?')]"
"(10, 10, 15, 0)","[(3, 1, '?'), (3, 1, '?'), (3, 1, '?'), (3, 1, 2), (3, 2, 2), (3, 1, 2), (3, 1, 2), (3, 1, '?'), (3, 1, 2), (3, 1, '?'), (3, 1, 2), (3, 1, 2), (3, 1, 1), (3, 1, 2), (3, 1, '?'), (3, 1, '?'), (3, 2, 2), (3, 1, '?'), ('?', '?', 2), (3, 1, 2), (3, 1, 2), (3, 1, 1)]"
"(10, 15, 15, 0)","[(3, 2, '?'), (3, 1, 0), (3, 1, 0), (3, 1, 0), (3, '?', '?'), (3, '?', 2), (3, 2, 2), (3, '?', 2), (3, 3, 0), (3, '?', '?'), (3, 2, 2), (3, '?', 2), (3, '?', '?'), (3, 3, '?'), (3, 2, 2), (3, 2, '?'), (3, 3, '?'), (3, '?', 2), (3, 2, 2), (3, 2, 1), (3, '?', '?'), (3, 2, 2), (3, '?', 0), (3, '?', 2), (3, '?', '?'), (3, 3, '?'), (3, '?', 2), (3, 3, 0), (3, '?', 2), (3, '?', '?'), (3, '?', '?'), (3, 3, 0), (3, '?', 0), (3, '?', 0), (3, '?', 2), (3, 2, 1), (3, '?', '?'), (3, 3, '?'), (3, 1, 0), (3, 2, 1), (3, 1, 0), (3, 3, '?'), (3, 3, '?'), (3, '?', '?'), (3, 1, 0), (3, 3, 0), (3, '?', 2), (3, '?', 0), (3, 2, '?'), (3, 2, 1), (3, 2, 1), (3, 1, '?'), (3, 1, 0), (3, '?', '?'), (3, 2, 1)]"
"(14, 4, 4, 0)","[(0, 0, '?'), (0, 1, 2), (0, 0, '?')]"
